Data de Extração,Num da Comp,Palavra Pivo,Periodo,Termo Buscado,date,values
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-24,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-25,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-26,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-27,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-28,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-29,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-30,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-08-31,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-01,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-02,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-03,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-04,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-05,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-06,3
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-07,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-08,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-09,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-10,4
13/09/2018 19:41,1º Comparação,consul,today 1-m,geladeira,2018-09-11,4
