Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
20,Ricardo Eletro,4,Empresa,CONSUL,22/08/2018 12:29,all
21,Técnica,4,Assunto,CONSUL,22/08/2018 12:29,all
22,Porta,4,Assunto,CONSUL,22/08/2018 12:29,all
23,Fogão,4,Assunto,CONSUL,22/08/2018 12:29,all
24,Manual de instruções,3,Assunto,CONSUL,22/08/2018 12:29,all
0,Computador,100,Assunto,COMPUTADOR,22/08/2018 12:29,all
1,Microsoft Windows,6,Sistema operacional,COMPUTADOR,22/08/2018 12:29,all
2,Mesa,3,Assunto,COMPUTADOR,22/08/2018 12:29,all
3,Laptop,3,Assunto,COMPUTADOR,22/08/2018 12:29,all
4,Instalação,2,Computação,COMPUTADOR,22/08/2018 12:29,all
5,Windows 7,2,Sistema operacional,COMPUTADOR,22/08/2018 12:29,all
6,Teclado,2,Periférico do computador,COMPUTADOR,22/08/2018 12:29,all
7,Unidade central de processamento,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
8,Rede de computadores,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
9,Formatação de disco,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
10,Computador pessoal,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
11,Memória,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
12,Monitor de vídeo,2,Assunto,COMPUTADOR,22/08/2018 12:29,all
13,Arquivo,2,Tipo de organização,COMPUTADOR,22/08/2018 12:29,all
14,Vírus,1,Tipo de agente infeccioso,COMPUTADOR,22/08/2018 12:29,all
15,Computar,1,Campo de estudo,COMPUTADOR,22/08/2018 12:29,all
16,Dell,1,Empresa,COMPUTADOR,22/08/2018 12:29,all
17,Positivo Tecnologia,1,Empresa,COMPUTADOR,22/08/2018 12:29,all
18,Gamer,1,Assunto,COMPUTADOR,22/08/2018 12:29,all
19,Windows 8,1,Sistema operacional,COMPUTADOR,22/08/2018 12:29,all
20,Intel Core i5,1,Assunto,COMPUTADOR,22/08/2018 12:29,all
21,Intel Core i3,1,Processador do computador,COMPUTADOR,22/08/2018 12:29,all
22,Windows 10,1,Sistema operacional,COMPUTADOR,22/08/2018 12:29,all
23,Intel Core i7,0,Processador do computador,COMPUTADOR,22/08/2018 12:29,all
24,Intel Core,0,Processador do computador,COMPUTADOR,22/08/2018 12:29,all
0,Dell,100,Empresa,DELL,22/08/2018 12:29,all
1,Laptop,21,Assunto,DELL,22/08/2018 12:29,all
2,Dell Inspiron,11,Assunto,DELL,22/08/2018 12:29,all
3,Driver de dispositivo,8,Assunto,DELL,22/08/2018 12:29,all
4,Computador,4,Assunto,DELL,22/08/2018 12:29,all
5,Intel Core i5,3,Assunto,DELL,22/08/2018 12:29,all
6,Dell Vostro,3,Assunto,DELL,22/08/2018 12:29,all
7,Hewlett-Packard,3,Companhia,DELL,22/08/2018 12:29,all
8,Intel Core i7,3,Processador do computador,DELL,22/08/2018 12:29,all
9,Intel,2,Empresa,DELL,22/08/2018 12:29,all
10,Bateria,2,Eletricidade,DELL,22/08/2018 12:29,all
11,Windows 7,2,Sistema operacional,DELL,22/08/2018 12:29,all
12,Teclado,2,Periférico do computador,DELL,22/08/2018 12:29,all
13,Intel Core i3,2,Processador do computador,DELL,22/08/2018 12:29,all
14,Dell XPS,2,Computador,DELL,22/08/2018 12:29,all
15,Monitor de vídeo,1,Assunto,DELL,22/08/2018 12:29,all
16,Unidade de disco rígido,1,Periférico do computador,DELL,22/08/2018 12:29,all
17,Acer Inc.,1,Empresa,DELL,22/08/2018 12:29,all
18,OptiPlex,1,Assunto,DELL,22/08/2018 12:29,all
19,Ultrabook,1,Assunto,DELL,22/08/2018 12:29,all
20,Lenovo,1,Empresa,DELL,22/08/2018 12:29,all
21,Tablet,1,Assunto,DELL,22/08/2018 12:29,all
22,Unidade central de processamento,1,Assunto,DELL,22/08/2018 12:29,all
23,ASUS,1,Empresa,DELL,22/08/2018 12:29,all
24,Placa de vídeo,1,Classe do periférico do computador,DELL,22/08/2018 12:29,all
0,Sony,100,Fabricante do computador,SONY,22/08/2018 12:29,all
1,Xperia,19,Linha do produto,SONY,22/08/2018 12:29,all
2,Sony Mobile Communications,14,Empresa,SONY,22/08/2018 12:29,all
3,Telefone celular,10,Assunto,SONY,22/08/2018 12:29,all
4,Vegas Pro,8,Software,SONY,22/08/2018 12:29,all
5,VAIO,8,Empresa,SONY,22/08/2018 12:29,all
6,Câmera,6,Assunto,SONY,22/08/2018 12:29,all
7,Televisor,6,Assunto,SONY,22/08/2018 12:29,all
8,Dados digitais,3,Assunto,SONY,22/08/2018 12:29,all
9,Laptop,3,Assunto,SONY,22/08/2018 12:29,all
10,Sony Xperia Z3,3,Assunto,SONY,22/08/2018 12:29,all
11,Câmera digital,2,Assunto,SONY,22/08/2018 12:29,all
12,BRAVIA,2,Assunto,SONY,22/08/2018 12:29,all
13,LG Corporation,2,Corporação,SONY,22/08/2018 12:29,all
14,Smartphone,2,Plataforma de computação,SONY,22/08/2018 12:29,all
15,Diodo emissor de luz,2,Assunto,SONY,22/08/2018 12:29,all
16,Sony Xperia Z2,2,Assunto,SONY,22/08/2018 12:29,all
17,Cyber-shot,2,Linha do produto,SONY,22/08/2018 12:29,all
18,Sony Xperia Z1,2,Assunto,SONY,22/08/2018 12:29,all
19,Câmera de vídeo,1,Assunto,SONY,22/08/2018 12:29,all
20,Sony Xperia M2,1,Assunto,SONY,22/08/2018 12:29,all
21,Sony Xperia M4 Aqua,1,Assunto,SONY,22/08/2018 12:29,all
22,Sony Xperia C,1,Assunto,SONY,22/08/2018 12:29,all
23,Sony Ericsson Xperia X10,1,Telefone celular,SONY,22/08/2018 12:29,all
24,Televisor conectado,1,Assunto,SONY,22/08/2018 12:29,all
0,Amazon.com,100,Empresa,AMAZON,22/08/2018 12:29,all
1,Estados Unidos,6,País na América do Norte,AMAZON,22/08/2018 12:29,all
2,eBay,3,Empresa,AMAZON,22/08/2018 12:29,all
3,Amazon Prime,2,Assunto,AMAZON,22/08/2018 12:29,all
4,Kindle,2,Linha do produto,AMAZON,22/08/2018 12:29,all
5,Dólar dos Estados Unidos,2,Moeda,AMAZON,22/08/2018 12:29,all
6,Livraria Saraiva,2,Empresa,AMAZON,22/08/2018 12:29,all
7,Reino Unido,1,País na Europa,AMAZON,22/08/2018 12:29,all
8,Amazon Web Services,1,Assunto,AMAZON,22/08/2018 12:29,all
