date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-26,31,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,30,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,34,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,29,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,36,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,35,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,31,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,31,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,36,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,30,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,29,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,38,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,33,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,30,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,38,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,28,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,34,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,37,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,34,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
